"Measured","Weather station 1"
"Outside temperature [°C]","24.6"
"RH [%]","65"
"HD [g/kg]","7.00"
"HD [g/m³]","8.24"
"Dew point temperature [°C]","17.6"
"Absolute humidity [g/kg]","12.56"
"Enthalpy [kJ/kg]","56.69"
"Enthalpy [kJ/m³]","66.71"
"Unsmoothed wind speed [m/s]","0.8"
"Wind speed [m/s]","2.0"
"Wind direction [°]","206"
"Unsmoothed radiation intensity [W/m²]","4.2"
"Radiation intensity [W/m²]","22.9"
"Standard radiation intensity [W/m²]","4.2"
"Rain intensity [mm/h]","0.00"
"Rain [0 - 1]","0"
"Barometric pressure [hPa]","984"
"Totals","Weather station 1"
"Radiation sum [J/cm²]","3162.0"
"Status","Weather station 1"
"Weather station status","Active"
"Status of weather station communication","-"
